#regression dataset three feature
# y = 2.2*x1 + 0.8*x2 -1.7*x3 + 3.2 + noise*0.01
x0,x1,x2,y
2.01,1.57,-1.12,10.78
2.12,-2.22,6.13,-4.32
2.1,-1.42,2.04,3.22
0.78,0.88,4.3,-1.68
1.99,3.78,2.82,5.81
-0.08,-0.55,2.59,-1.81
0.57,0.83,3.9,-1.51
-0.8,1.06,0.84,0.87
0.31,2.79,0.54,5.2
2.44,-1.56,2.83,2.51
-2.01,2.48,2.11,-2.82
4.07,-1.55,-0.62,11.98
-0.67,1.15,-0.94,4.25
-2.04,1.77,3.96,-6.6
-1.16,0.64,2.95,-3.85
1.68,2.49,-0.2,9.24
3.01,1.17,2.33,6.8
2.01,-0.62,-0.83,8.54
-0.03,-5.86,1.8,-4.61
2.61,-4.22,4.2,-1.57
3.39,0.48,-0.23,11.43
2.56,4.51,0.98,10.78
1.1,-0.26,-5.97,15.56
3.32,2.75,5.61,3.17
3.27,0.21,4.29,3.27
0.33,1.54,5.14,-3.57
0.85,2.27,-2.6,11.32
3.63,3.15,-0.49,14.55
1.5,-2.29,1.09,2.82
3.47,2.37,2.12,9.14
1.23,2.98,2.14,4.66
1.15,-0.45,4.64,-2.51
1.52,3.44,-1.02,11.03
0.29,2.32,-2.87,10.58
3.76,0.49,-1.67,14.71
-0.58,1.33,0.7,1.81
4.96,4.88,3.25,12.5
2.96,3.61,4.13,5.58
-0.54,-0.72,3.34,-4.24
-0.2,-0.52,2.06,-1.15
0.7,-0.52,-0.65,5.43
0.27,1.17,3.3,-0.87
5.36,1.49,2.01,12.77
-1.44,-0.96,4.86,-8.99
-1.34,-0.43,1.52,-2.67
1.17,2.08,3.08,2.21
4.24,-0.45,3.81,5.7
3.26,-3.17,2.92,2.88
0.23,1.07,7.57,-8.3
2.23,4.2,1.12,9.57
1.52,2.26,-2.53,12.66
1.4,0.4,1.15,4.65
2.32,1.0,0.27,8.65
3.74,-0.68,9.23,-4.8
1.72,3.01,4.15,2.34
4.08,-1.85,-2.66,15.22
-0.72,0.32,0.38,1.23
1.59,5.17,-0.9,12.37
3.82,-1.04,-1.39,13.14
1.92,3.54,-1.3,12.47
3.38,1.16,-3.47,17.47
3.37,2.45,-0.43,13.31
-1.62,5.03,1.14,1.73
1.15,1.84,-0.97,8.86
0.47,1.63,2.71,0.94
5.62,1.37,1.03,14.92
3.95,5.36,0.26,15.74
0.11,2.02,2.55,0.73
0.44,1.63,1.35,3.18
4.49,-0.16,3.45,7.09
2.75,0.2,-1.48,11.93
-0.69,2.21,0.81,2.08
1.7,-2.49,3.13,-0.37
1.55,0.54,2.64,2.56
-0.1,-1.18,-5.54,11.46
0.81,-1.15,1.72,1.15
3.19,5.19,2.7,9.78
3.26,3.14,-3.73,19.23
4.93,-4.17,4.63,2.84
4.09,2.98,4.56,6.84
1.91,3.0,0.01,9.79
1.35,1.57,3.03,2.28
1.7,0.93,6.39,-3.17
0.8,3.51,0.34,7.2
-0.33,3.18,3.31,-0.6
5.38,6.84,3.43,14.68
0.53,-0.92,-0.38,4.28
0.33,3.37,0.32,6.08
5.98,-0.99,-3.87,22.15
3.65,-2.92,6.11,-1.49
1.89,0.26,1.73,4.63
3.01,3.77,4.67,4.9
-0.54,1.18,3.68,-3.29
3.69,-0.45,-2.04,14.43
4.94,3.2,4.19,9.51
1.17,2.29,2.95,2.59
0.24,3.72,0.15,6.46
-1.98,2.81,-2.08,4.63
2.52,4.25,4.14,5.11
0.66,7.92,5.05,2.41
2.03,5.55,0.18,11.81
1.86,3.48,1.85,6.94
2.21,1.19,-3.16,14.39
-3.79,-0.32,3.87,-11.97
-0.75,1.67,3.61,-3.25
2.58,3.43,3.08,6.39
4.09,-0.24,-0.3,12.52
-0.4,1.3,2.89,-1.54
-0.4,-0.75,-1.28,3.9
2.65,2.54,2.67,6.52
-1.46,3.85,2.24,-0.73
3.09,3.12,1.04,10.73
4.09,3.58,0.52,14.18
3.33,2.25,-0.42,13.04
-0.7,4.06,0.48,4.1
1.19,1.4,3.17,1.56
-0.1,3.31,6.75,-5.84
2.21,6.16,3.37,7.26
1.88,3.6,0.15,9.97
2.81,1.95,2.06,7.45
-1.42,2.92,2.02,-1.02
6.21,3.33,1.61,16.79
3.17,2.9,-3.15,17.86
2.18,1.93,5.8,-0.32
4.54,1.6,-3.26,20.02
2.69,0.49,1.19,7.49
1.02,2.87,-2.21,11.5
4.88,3.52,-2.88,21.65
2.21,1.94,0.94,8.02
0.23,6.02,4.79,0.39
-1.68,1.25,2.8,-4.25
2.14,2.28,2.53,5.44
-0.75,2.95,-0.35,4.51
2.36,3.72,5.92,1.31
3.41,3.25,-0.29,13.8
-1.21,5.76,1.76,2.15
1.61,-1.23,-0.95,7.38
2.36,-1.06,1.47,5.05
-0.19,2.52,2.47,0.6
2.55,4.63,4.69,4.54
3.5,3.94,6.48,3.04
3.48,3.15,-2.02,16.81
5.23,1.82,-0.57,17.14
6.64,1.69,7.83,5.85
1.4,0.26,-0.63,7.57
-1.19,-1.33,-4.5,7.17
2.77,-0.79,-5.34,17.75
0.46,4.03,4.39,-0.02
4.04,0.6,0.35,11.98
2.55,0.57,2.59,4.87
2.93,-1.99,-2.89,12.97
4.62,-1.33,3.56,6.25
1.94,0.34,-1.29,9.93
-1.32,0.72,3.92,-5.79
-2.42,-3.04,3.94,-11.24
0.4,5.05,2.89,3.21
3.33,0.55,5.98,0.81
2.11,1.33,2.11,5.33
7.29,1.52,3.92,13.8
0.72,1.77,1.16,4.23
1.98,1.09,1.23,6.34
0.79,2.98,5.1,-1.34
4.49,3.02,1.18,13.49
1.41,-1.61,1.85,1.87
3.59,-1.38,-2.45,14.16
1.54,-1.2,-0.28,6.11
4.26,0.99,6.97,1.52
2.64,-0.67,1.34,6.2
7.44,1.1,3.81,13.97
-0.2,0.8,0.04,3.33
1.08,0.62,-2.9,11.01
0.89,0.94,1.4,3.54
1.33,5.79,0.77,9.45
2.75,4.13,4.49,4.93
1.62,-0.53,-5.61,15.88
5.2,2.66,-0.08,16.91
1.63,1.67,-0.56,9.08
1.31,0.41,-1.07,8.23
0.06,3.36,3.42,0.21
-3.53,-0.82,3.01,-10.34
3.12,5.14,5.13,5.46
-0.77,4.81,0.22,4.98
1.89,0.41,1.53,5.09
1.28,0.96,6.03,-3.46
3.3,4.72,1.34,11.96
4.12,1.57,4.2,6.38
0.49,-0.26,4.58,-3.71
1.91,1.52,4.81,0.44
3.63,0.16,3.82,4.83
5.1,5.12,3.4,12.74
1.16,-1.66,3.74,-1.93
-1.24,1.3,2.07,-2.0
2.9,0.11,7.52,-3.11
4.12,-0.4,0.98,10.28
3.86,1.37,1.62,10.04
2.41,0.63,-0.64,10.1
-1.69,2.26,2.18,-2.41
0.57,0.11,4.16,-2.53
2.34,6.86,4.31,6.52
1.02,3.97,1.23,6.53
-0.7,4.11,7.57,-7.91
2.74,2.4,0.43,10.42
0.97,3.54,0.76,6.88
3.19,3.56,3.69,6.8
4.22,6.22,-1.55,20.1
-3.19,1.64,0.95,-4.12
-1.39,0.81,-1.67,3.63
-0.28,3.03,-5.17,13.8
3.36,0.15,1.95,7.4
2.77,6.9,2.4,10.74
3.19,1.42,9.19,-4.26
2.6,0.64,5.65,-0.17
-1.02,2.06,3.74,-3.75
1.48,0.02,1.42,4.06
2.62,3.62,-0.81,13.24
2.11,1.56,-0.49,9.93
1.35,5.66,5.58,1.22
2.02,-4.16,-0.46,5.1
2.91,2.8,1.87,8.67
2.33,-0.2,-2.42,12.29
1.56,4.54,2.4,6.19
2.0,-3.5,0.11,4.62
2.97,3.83,0.17,12.52
6.2,3.31,0.01,19.47
7.39,0.24,4.68,11.7
4.53,0.52,0.1,13.42
1.85,3.24,5.71,0.16
5.5,-0.02,1.4,12.91
3.86,2.54,-2.81,18.51
1.41,0.39,0.46,5.84
2.16,6.78,0.35,12.79
-0.58,5.91,0.03,6.61
-0.82,7.27,3.42,1.4
1.01,3.87,-1.43,10.96
-0.03,1.3,2.58,-0.21
2.09,5.88,2.39,8.44
-3.11,-0.75,-0.18,-3.93
1.36,-2.11,3.84,-2.02
-0.41,2.19,4.83,-4.15
0.74,0.89,0.06,5.45
2.72,6.08,5.07,5.44
3.89,5.07,3.92,9.16
1.7,1.99,1.0,6.84
1.68,5.33,6.57,-0.0
2.92,-0.34,3.21,3.9
0.5,1.95,0.08,5.73
5.59,1.64,1.67,13.98
3.42,2.27,0.96,10.91
3.79,2.56,3.2,8.15
0.55,-0.42,0.98,2.41
2.8,-0.07,-1.18,11.31
0.81,-0.06,4.25,-2.29
2.72,-0.99,3.14,3.05
-1.6,3.98,-2.99,7.95
6.6,4.37,-0.67,22.36
