#regression dataset one feature
#y = 2.2*x + 3.8 + noise*0.01
x,y
-2.0,-0.5900000000000005
-1.93,-0.4460000000000006
-1.86,-0.2920000000000007
-1.79,-0.12800000000000078
-1.72,0.01599999999999957
-1.65,0.16999999999999993
-1.58,0.3339999999999994
-1.51,0.4879999999999993
-1.43,0.6539999999999999
-1.36,0.8079999999999994
-1.29,0.9719999999999993
-1.22,1.1259999999999997
-1.15,1.28
-1.08,1.4339999999999995
-1.01,1.5779999999999994
-0.94,1.7419999999999998
-0.87,1.8859999999999997
-0.8,2.0399999999999996
-0.73,2.194
-0.66,2.3579999999999997
-0.59,2.502
-0.52,2.6659999999999995
-0.44,2.832
-0.37,2.9859999999999998
-0.3,3.1499999999999995
-0.23,3.3039999999999994
-0.16,3.4579999999999997
-0.09,3.6119999999999997
-0.02,3.7659999999999996
0.05,3.9199999999999995
0.12,4.064
0.19,4.218
0.26,4.382
0.33,4.526
0.4,4.6899999999999995
0.47,4.843999999999999
0.55,5.01
0.62,5.164
0.69,5.327999999999999
0.76,5.4719999999999995
0.83,5.6259999999999994
0.9,5.79
0.97,5.933999999999999
1.04,6.098
1.11,6.252000000000001
1.18,6.396
1.25,6.56
1.32,6.714
1.39,6.858
1.46,7.0120000000000005
1.54,7.198
1.61,7.352
1.68,7.506
1.75,7.66
1.82,7.804
1.89,7.958
1.96,8.112
2.03,8.276
2.1,8.430000000000001
2.17,8.574
2.24,8.738000000000001
2.31,8.892000000000001
2.38,9.046
2.45,9.190000000000001
2.53,9.366
2.6,9.52
2.67,9.684
2.74,9.828000000000001
2.81,9.982
2.88,10.145999999999999
2.95,10.290000000000001
3.02,10.444
3.09,10.597999999999999
3.16,10.762
3.23,10.916
3.3,11.069999999999999
3.37,11.224
3.44,11.378
3.52,11.554
3.59,11.708
3.66,11.862
3.73,12.016
3.8,12.17
3.87,12.314
3.94,12.468
4.01,12.632
4.08,12.776
4.15,12.94
4.22,13.084
4.29,13.238
4.36,13.392000000000003
4.43,13.556
4.51,13.732000000000001
4.58,13.886000000000001
4.65,14.040000000000001
4.72,14.184000000000001
4.79,14.348
4.86,14.492
4.93,14.656
5.0,14.81
