#regression dataset one feature no linear
#y = 0.2*x**2 + 3.2*x + 0.9 + noise*0.01
x,y
-2.0,-4.69
-1.93,-4.52102
-1.86,-4.35008
-1.79,-4.187180000000001
-1.72,-4.01232
-1.65,-3.8355
-1.58,-3.6567200000000013
-1.51,-3.475980000000001
-1.43,-3.2570200000000002
-1.36,-3.0720800000000006
-1.29,-2.8851800000000005
-1.22,-2.69632
-1.15,-2.5055
-1.08,-2.3127200000000006
-1.01,-2.1279800000000004
-0.94,-1.93128
-0.87,-1.7226200000000003
-0.8,-1.5220000000000005
-0.73,-1.3194199999999998
-0.66,-1.11488
-0.59,-0.9083799999999999
-0.52,-0.6999200000000002
-0.44,-0.46928000000000003
-0.37,-0.25661999999999996
-0.3,-0.041999999999999926
-0.23,0.17457999999999996
-0.16,0.39312
-0.09,0.61362
-0.02,0.84608
0.05,1.0605
0.12,1.29688
0.19,1.5252200000000002
0.26,1.74552
0.33,1.98778
0.4,2.222
0.47,2.44818
0.55,2.7205000000000004
0.62,2.96088
0.69,3.2032199999999995
0.76,3.45752
0.83,3.7037799999999996
0.9,3.952
0.97,4.20218
1.04,4.45432
1.11,4.6984200000000005
1.18,4.95448
1.25,5.2125
1.32,5.472480000000001
1.39,5.74442
1.46,6.008319999999999
1.54,6.312320000000001
1.61,6.570420000000001
1.68,6.85048
1.75,7.1225000000000005
1.82,7.3864800000000015
1.89,7.672420000000001
1.96,7.9503200000000005
2.03,8.22018
2.1,8.502
2.17,8.79578
2.24,9.071520000000001
2.31,9.36922
2.38,9.65888
2.45,9.950500000000002
2.53,10.28618
2.6,10.582
2.67,10.87978
2.74,11.16952
2.81,11.48122
2.88,11.78488
2.95,12.080500000000002
3.02,12.398080000000002
3.09,12.69762
3.16,13.019120000000003
3.23,13.32258
3.3,13.648
3.37,13.955380000000002
3.44,14.28472
3.52,14.642080000000002
3.59,14.96562
3.66,15.301120000000003
3.73,15.61858
3.8,15.958
3.87,16.27938
3.94,16.62272
4.01,16.94802
4.08,17.28528
4.15,17.6245
4.22,17.97568
4.29,18.30882
4.36,18.65392
4.43,19.01098
4.51,19.41002
4.58,19.75128
4.65,20.1045
4.72,20.46968
4.79,20.81682
4.86,21.185920000000003
4.93,21.54698
5.0,21.91
